sample_type,a0,a1,swap_test_loss,reconstruction_fidelity_ideal,reconstruction_score_ideal,trash_z_expectation_ideal
normal,0.4836657369998874,0.4836657369998874,0.0,0.9999929458322098,7.054167790232491e-06,0.9999880901620243
normal,0.471988447474855,0.471988447474855,0.0,0.9999818541544985,1.814584550152709e-05,0.9999647383624344
normal,0.5003979549592457,0.5003979549592457,0.0,0.9998462892288398,0.00015371077116022036,0.9997182382424828
normal,0.48123665801615223,0.48123665801615223,0.0,0.9999982924600228,1.70753997719153e-06,0.9999975122496125
normal,0.48500391420291006,0.48500391420291006,0.0,0.9999882784572189,1.172154278106241e-05,0.9999796866571006
normal,0.4310712657932043,0.4310712657932043,0.000244140625,0.9992172090680546,0.0007827909319454429,0.9985293768210786
normal,0.459657703618944,0.459657703618944,0.0,0.999869709421614,0.00013029057838598312,0.9997527379276013
normal,0.5827028774400215,0.5827028774400215,0.001220703125,0.996284032773822,0.003715967226177952,0.9930848336786338
normal,0.4664383391874141,0.4664383391874141,0.0,0.9999441006116696,5.589938833039376e-05,0.9998930462331967
anomaly,0.6958818976094354,0.1987087236282153,0.0078125,0.9820543755081901,0.01794562449180992,0.9663364748485
anomaly,0.6820311618069503,0.35170147145055264,0.001220703125,0.9955599516981537,0.0044400483018463,0.992943928582879
anomaly,0.36327589545274525,0.777451324502908,0.0107421875,0.9788229637135255,0.021177036286474493,0.9581237274024891
anomaly,0.5973569632017179,0.2572406065501612,0.005126953125,0.9885212112919831,0.011478788708016885,0.9777589477777254
anomaly,0.24020697434529842,0.7389408408295746,0.0078125,0.9824359635098382,0.017564036490161805,0.9673566743520453
anomaly,0.19381449246377702,0.7429802521427322,0.00830078125,0.9808605762726336,0.019139423727366434,0.965334387112423
anomaly,0.20542095907231248,0.6184770934949472,0.001953125,0.9925951954372005,0.007404804562799461,0.988680241607629
anomaly,0.3309877425467569,0.7425049283790823,0.0078125,0.9832840424118668,0.016715957588133157,0.9674454080376581
anomaly,0.729756052914373,0.2678995552301426,0.00390625,0.9893644930724416,0.010635506927558436,0.9815061208543232
